title,id,weight,width,height,depth
"Szafa wisząca 19"" 6U/600mm drzwi przeszklone otwierane boki RAL 9005",19-BOCK-019-060-600-C,"0,00","602,00","328,00","600,00"
"Szafa wisząca 19"" 6U/600mm drzwi przeszklone otwierane boki RAL 7035",19-BOCK-019-060-600-S,"0,00","602,00","328,00","600,00"
"Szafa wisząca 19"" 9U/400mm drzwi przeszklone otwierane boki RAL 9005",19-BOCK-019-090-400-C,"0,00","602,00","470,00","400,00"
"Szafa wisząca 19"" 9U/400mm drzwi przeszklone otwierane boki RAL 7035",19-BOCK-019-090-400-S,"0,00","602,00","470,00","400,00"
"Szafa wisząca 19"" 9U/600mm drzwi przeszklone otwierane boki RAL 9005",19-BOCK-019-090-600-C,"0,00","602,00","470,00","600,00"
"Rama montażowa typu Duplex19"" 32U, 550x710, RAL 9005",19-4001DUPLEX19-32U-C,"33,00","540,00","1 600,00","650,00"
"Rama montażowa typu Duplex19"" 32U, 550x710, RAL 7035",19-4002DUPLEX19-32U-S,"33,00","540,00","1 600,00","650,00"
"Rama montażowa 19"" DUPLEX 42U szer.550 x głę. 710mm RAL 9005",19-4003DUPLEX19-42U-C,"38,00","540,00","2 030,00","650,00"
"Rama montażowa 19"" DUPLEX 42U szer.550 x głę. 710mm RAL 7035",19-4004DUPLEX19-42U-S,"38,00","540,00","2 030,00","650,00"
"Rama montażowa typu Duplex19"" 45U, 550x711, RAL 9005",19-4005DUPLEX19-45U-C,"40,00","540,00","2 170,00","650,00"
"Rama montażowa typu Duplex19"" 45U, 550x711, RAL 7035",19-4006DUPLEX19-45U-S,"40,00","540,00","2 170,00","650,00"
"Rama montażowa typu Simplex19"" 32U, 550x710, RAL 9005",19-4007SIMPLEX19-32U-C,"20,00","540,00","1 580,00","650,00"
"Rama montażowa typu Simplex19"" 32U, 550x710 7035",19-4008SIMPLEX19-32U-S,"20,00","540,00","1 580,00","650,00"
"Rama montażowa typu Simplex19""42u, 550x710",19-4009SIMPLEX19-42U-C,"24,00","540,00","2 030,00","650,00"
"Rama montażowa typu Simplex19"" 42U, 550x710 7035",19-4010SIMPLEX19-42U-S,"23,00","540,00","2 030,00","650,00"
"Rama montażowa typu Simplex19"" 45U, 550x711, RAL 9005",19-4011SIMPLEX19-45U-C,"24,00","540,00","2 170,00","650,00"
"Rama montażowa typu Simplex19"" 45U, 550x711, RAL 7035",19-4012SIMPLEX19-45U-S,"23,00","540,00","2 170,00","650,00"
"Szafa wisząca 19"" 12Ux600x400 mm IP 20, ściany boczne otwierane, drzwi z szybą, RAL 7035 (szary) /wycofane/",19-5003SIDE-O19-12U-40-DS-S,"25,00","617,00","660,00","428,00"
"Szafa wisząca 19"" 15Ux600x400 mm IP 20, ściany boczne otwierane, drzwi z szybą, RAL 9005 (czarny) /wycofane/",19-5010SIDE-O19-15U-40-DS-C,"28,00","617,00","790,00","428,00"
"Szafa wisząca 19"" 6Ux600x600 mm IP 20, ściany boczne otwierane, drzwi pełne, RAL 7035 (szary) /wycofane/",19-5030SIDE-O19-6U-60-DP-S,"21,00","617,00","396,00","628,00"
"Szafa wisząca 19"" 6Ux600x600 mm IP 20, ściany boczne otwierane, drzwi z szybą, RAL 9005 (czarny) /wycofane/",19-5031SIDE-O19-6U-60-DS-C,"21,00","617,00","396,00","628,00"
"Szafa wisząca 19"" 6Ux600x600 mm IP 20, ściany boczne otiwerane, drzwi z szybą, RAL 7035 (szary) /wycofane/",19-5032SIDE-O19-6U-60-DS-S,"21,00","617,00","396,00","628,00"
"Szafa wisząca 19"" 9Ux600x400 mm IP 20, ściany boczne otwierane, drzwi z szybą, RAL 9005 (czarny) /wycofane/",19-5035SIDE-O19-9U-40-DS-C,"21,00","617,00","531,00","428,00"
"Szafa wisząca 19"" 9Ux600x400 mm IP 20, ściany boczne otwierane, drzwi z szybą, RAL 7035 (szary) /wycofane/",19-5036SIDE-O19-9U-40-DS-S,"21,00","617,00","531,00","428,00"
"Szafa wisząca 19"" 9Ux600x600 mm IP 20, ściany boczne otwierane, drzwi z szybą, RAL 7035 (szary) /wycofane/",19-5040SIDE-O19-9U-60-DS-S,"27,00","617,00","531,00","628,00"
"Szafa wisząca 19"" 12Ux600x600 mm IP 20, ściany boczne otwierane, drzwi z szyba, RAL 9005 (czarny) /wycofane/",19-5047SIDE-O-D19-12U-60-DS-C,"37,00","617,00","666,00","780,00"
"Szafa wisząca SIMPLE 19"" 12Ux555x400 mm  IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8000SZWS-19-12U-40-DP,"18,00","555,00","595,00","400,00"
"Szafa wisząca SIMPLE 19"" 12Ux555x400 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8001SZWS-19-12U-40-DS,"18,00","555,00","595,00","400,00"
"Szafa wisząca SIMPLE 19"" 12Ux555x600 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8002SZWS-19-12U-60-DP,"23,00","555,00","595,00","600,00"
